"gender" "major" "cond" "phobia" "prevmath" "mathquiz" "statquiz" "hr_base" "hr_pre" "hr_post" "anx_base" "anx_pre" "anx_post"
"1" 1 1 1 1 3 43 6 71 68 65 17 22 20
"2" 1 1 1 1 4 49 9 73 75 68 17 19 16
"3" 1 1 1 4 1 26 8 69 76 72 19 14 15
"4" 1 1 1 4 0 29 7 72 73 78 19 13 16
"5" 1 1 1 10 1 31 6 71 83 74 26 30 25
"6" 1 1 2 4 1 20 7 70 71 76 12 15 19
"7" 1 1 2 4 2 13 3 71 70 66 12 16 17
"8" 1 1 2 4 1 23 7 77 87 84 17 19 22
"9" 1 1 2 4 1 38 8 73 72 67 20 14 17
"10" 1 1 2 5 0 NA 7 78 76 74 20 24 19
"11" 1 1 4 3 1 21 8 72 74 68 21 27 22
"12" 1 NA 2 5 1 29 8 74 72 73 21 25 22
"13" 1 1 2 4 0 32 8 73 74 74 32 35 NA
"14" 1 1 3 4 1 NA 5 72 83 77 18 27 28
"15" 1 1 4 8 0 NA 3 76 76 79 14 18 21
"16" 1 NA 4 4 1 37 8 68 67 74 15 19 NA
"17" 1 1 2 7 0 18 1 73 76 78 NA 23 20
"18" 1 1 4 0 3 32 10 74 74 75 20 12 18
"19" 1 1 4 5 1 37 7 77 78 73 39 39 40
"20" 1 2 1 4 2 21 7 78 79 73 18 13 16
"21" 1 NA 1 3 2 NA 7 70 63 66 18 12 14
"22" 1 2 2 4 1 NA 7 74 75 73 15 11 20
"23" 1 2 2 4 0 25 7 74 84 77 19 27 23
"24" 1 2 2 0 3 47 8 75 75 71 23 28 24
"25" 1 2 3 1 3 41 6 76 73 72 18 24 26
"26" 1 2 3 3 1 22 4 73 71 79 18 13 19
"27" 1 2 3 4 1 35 8 71 74 76 NA 22 25
"28" 1 2 1 1 4 26 7 71 76 75 14 10 18
"29" 1 2 4 0 6 39 8 74 79 79 17 12 16
"30" 1 2 1 5 1 22 4 73 78 69 21 14 17
"31" NA 3 1 2 0 10 7 74 72 72 15 21 16
"32" 1 3 1 1 1 20 8 76 69 71 17 25 19
"33" 1 3 4 4 1 26 8 76 74 81 17 26 15
"34" 1 3 1 9 1 21 8 75 83 73 18 21 23
"35" 1 3 1 2 1 30 6 69 69 64 22 16 NA
"36" 1 3 2 8 1 35 6 71 70 75 20 27 22
"37" 1 3 2 0 0 40 8 77 79 74 21 14 19
"38" 1 3 3 3 0 NA 7 78 76 84 24 27 25
"39" 1 3 4 4 1 44 6 67 67 73 12 19 17
"40" 1 3 4 3 1 35 8 78 73 78 19 12 17
"41" 1 3 4 4 1 26 7 77 78 78 21 15 15
"42" 1 4 4 2 1 42 7 69 70 64 13 24 22
"43" 1 4 1 1 1 39 7 71 63 66 15 21 13
"44" 1 4 1 0 NA NA 9 71 72 67 20 23 21
"45" 1 4 2 5 1 NA 5 75 76 70 NA 18 23
"46" 1 4 2 3 1 15 3 76 79 71 19 21 17
"47" 1 4 3 4 1 24 7 74 76 75 22 27 23
"48" 1 4 3 4 1 NA 7 74 74 69 30 36 32
"49" 1 4 4 10 0 26 5 78 80 80 19 24 24
"50" 1 4 4 2 1 33 8 72 64 68 20 14 NA
"51" 1 4 1 5 0 38 8 71 82 79 20 26 26
"52" 1 4 4 7 1 14 5 68 78 73 20 29 30
"53" 1 4 4 1 0 29 6 72 79 76 22 27 24
"54" 1 5 1 2 0 NA 8 72 67 67 16 20 22
"55" 1 5 3 3 5 45 9 76 79 75 15 8 17
"56" 1 5 3 4 1 28 8 73 78 77 19 13 18
"57" 1 5 4 2 2 31 8 74 78 82 27 21 24
"58" 2 1 1 0 3 33 10 72 67 68 16 25 15
"59" 2 1 1 1 1 32 8 74 84 76 17 19 14
"60" 2 1 NA 7 0 15 3 73 73 71 19 16 16
"61" 2 1 2 1 4 34 9 70 73 65 11 19 9
"62" 2 1 2 5 0 26 8 73 74 76 16 20 17
"63" 2 1 3 5 1 26 8 80 82 86 18 27 20
"64" 2 1 3 1 2 32 5 67 68 73 20 25 24
"65" 2 1 3 3 0 21 8 65 75 69 26 29 23
"66" 2 1 4 3 1 43 8 71 72 76 18 13 16
"67" 2 1 4 5 1 NA 8 72 75 68 21 26 27
"68" 2 2 1 3 1 37 6 70 73 77 15 23 14
"69" 2 2 2 180 2 NA 8 69 67 64 14 17 15
"70" 2 2 2 5 0 30 7 69 70 74 18 15 15
"71" 2 2 3 0 2 30 8 68 72 71 10 13 15
"72" 2 2 3 0 4 30 9 69 70 74 15 21 17
"73" 2 2 3 2 2 28 5 71 74 67 15 17 17
"74" 2 2 3 6 2 46 8 68 74 71 16 10 17
"75" 2 2 3 2 4 34 8 68 70 69 18 21 19
"76" 2 2 3 3 2 NA 7 76 79 71 19 13 NA
"77" 2 2 4 2 3 32 9 70 62 71 17 23 19
"78" 2 2 4 5 0 33 7 68 71 77 18 21 19
"79" 2 2 4 10 0 14 6 69 78 76 20 25 23
"80" 2 2 4 4 2 29 7 76 79 71 22 15 20
"81" 2 3 1 3 1 9 7 71 69 76 13 10 13
"82" 2 3 1 3 1 11 4 72 83 73 14 16 15
"83" 2 3 1 8 1 30 6 76 78 71 15 18 17
"84" 2 3 1 3 1 15 5 76 67 71 18 12 17
"85" 2 3 2 3 1 32 3 72 70 67 15 9 13
"86" 2 3 2 2 0 25 6 68 70 73 16 20 19
"87" 2 3 2 1 0 22 5 74 78 72 20 27 18
"88" 2 2 2 1 3 31 7 64 74 70 22 25 19
"89" 2 3 3 1 4 NA 8 70 71 69 10 16 14
"90" 2 3 3 8 1 18 4 71 73 77 15 19 21
"91" 2 3 3 3 1 11 4 72 75 76 24 17 21
"92" 2 4 1 0 1 11 6 71 78 72 16 21 15
"93" 2 4 3 4 0 28 7 73 77 79 24 18 20
"94" 2 4 NA 0 2 37 9 72 71 73 17 11 17
"95" 2 5 2 2 2 39 7 70 70 64 17 11 14
"96" 2 5 2 0 1 33 7 74 73 71 17 18 17
"97" 2 5 3 0 2 28 8 70 66 65 17 12 13
"98" 2 5 3 2 2 38 9 65 65 69 18 14 19
"99" 2 5 3 7 2 NA 8 69 70 71 23 28 24
"100" 2 5 4 1 4 41 8 72 68 73 17 11 18
